location_number,name,latitude,longitude,north_adjoin,south_adjoin,east_adjoin,west_adjoin,obstacle,opponent
1,Brgy. Katipunan,14.58,120.9,1,11,2,1,,
2,Brgy. Katipunan,14.58,120.91,2,12,3,1,,
3,Brgy. Katipunan,14.58,120.92,3,13,4,2,,
4,Brgy. Katipunan,14.58,120.93,4,14,5,3,,
5,Brgy. Katipunan,14.58,120.94,5,15,6,4,,
6,Brgy. Katipunan,14.58,120.95,6,16,7,5,,
7,Brgy. Katipunan,14.58,120.96,7,17,8,6,,
8,Brgy. Katipunan,14.58,120.97,8,18,9,7,,
9,Brgy. Katipunan,14.58,120.98,9,19,10,8,,
10,Brgy. Katipunan,14.58,120.99,10,20,10,9,,
11,Brgy. Katipunan,14.57,120.9,1,21,12,11,,
12,Brgy. Katipunan,14.57,120.91,2,22,13,11,,
13,Brgy. Katipunan,14.57,120.92,3,23,14,12,,
14,Brgy. Katipunan,14.57,120.93,4,24,15,13,,
15,Brgy. Katipunan,14.57,120.94,5,25,16,14,,
16,Brgy. Katipunan,14.57,120.95,6,26,17,15,,
17,Brgy. Katipunan,14.57,120.96,7,27,18,16,,
18,Brgy. Katipunan,14.57,120.97,8,28,19,17,,
19,Brgy. Katipunan,14.57,120.98,9,29,20,18,,
20,Brgy. Katipunan,14.57,120.99,10,30,20,19,,
21,Brgy. Katipunan,14.56,120.9,11,31,22,21,,
22,Brgy. Katipunan,14.56,120.91,12,32,23,21,,
23,Brgy. Katipunan,14.56,120.92,13,33,24,22,,
24,Brgy. Katipunan,14.56,120.93,14,34,25,23,,
25,Brgy. Katipunan,14.56,120.94,15,35,26,24,,
26,Brgy. Katipunan,14.56,120.95,16,36,27,25,,
27,Brgy. Katipunan,14.56,120.96,17,37,28,26,,
28,Brgy. Katipunan,14.56,120.97,18,38,29,27,,
29,Brgy. Katipunan,14.56,120.98,19,39,30,28,,
30,Brgy. Katipunan,14.56,120.99,20,40,30,29,,
31,Brgy. Katipunan,14.55,120.9,21,41,32,31,,
32,Brgy. Katipunan,14.55,120.91,22,42,33,31,,
33,Brgy. Katipunan,14.55,120.92,23,43,34,32,,
34,Brgy. Katipunan,14.55,120.93,24,44,35,33,,
35,Brgy. Katipunan,14.55,120.94,25,45,36,34,,
36,Brgy. Katipunan,14.55,120.95,26,46,37,35,,
37,Brgy. Katipunan,14.55,120.96,27,47,38,36,,
38,Brgy. Katipunan,14.55,120.97,28,48,39,37,,
39,Brgy. Katipunan,14.55,120.98,29,49,40,38,,
40,Brgy. Katipunan,14.55,120.99,30,50,40,39,,
41,Brgy. Katipunan,14.54,120.9,31,51,42,41,,
42,Brgy. Katipunan,14.54,120.91,32,52,43,41,,
43,Brgy. Katipunan,14.54,120.92,33,53,44,42,,
